,评论,得分,时间,点赞,回复
0,非常满意,5.0,2021/7/31,0,1
1,很不错，挺好的。,4.0,2021/7/22,0,1
2,好,5.0,2021/7/18,0,1
3,挺好的,5.0,2021/7/16,0,1
4,非常好，,5.0,2021/7/15,0,1
5,不错,5.0,2021/5/27,0,1
6,很好,4.0,2021/7/4,0,1
7,好评！,5.0,2021/6/10,0,1
8,很漂亮,5.0,2021/6/22,0,1
9,挺好,4.0,2021/6/5,0,1
10,很美,5.0,2021/3/22,0,1
11,推荐,5.0,2021/4/22,0,1
12,好玩,4.0,2021/4/16,0,1
13,好好好,5.0,2021/4/9,0,1
14,可以,4.0,2021/1/16,0,1
15,很满意,5.0,2020/12/24,1,1
16,很好看,5.0,2020/11/27,0,1
17,非常棒,5.0,2020/12/29,0,0
18,还不错。。。,5.0,2020/12/18,0,1
19,"【环境】好
【交通】方便
【项目】多",3.0,2020/12/7,0,1
20,很不错！,4.0,2020/10/27,0,1
21,特别好,5.0,2020/10/23,0,1
22,挺好的，不错,4.0,2020/9/9,0,1
23,位于青岛旅游景点密集区，交通方便，离青岛站挺近的，也很好找，就在主马路上。分为南北两区，南区是海洋生物馆，更精彩一些。北区是淡水生物馆，主要是淡水的物种。虽然没拍几张图，但实际这里有非常多的海洋生物。活的，标本，干的，都有。有停车场，在马路北面。此景点左右两边是第一海水浴场和鲁迅公园，都挺近，都是免费景区，风景很棒。,5.0,2021/7/10,0,1
24,第一 是位置，很好找，挨着鲁迅公园旁边           第二 是价格，三馆通票150元，美团有优惠，比如学生和老年人，已经军人等                     第三 场馆面积很大，有介绍的，有海底世界，还有一天总共三次的表演，表演都在下午          第四 场馆没有平行花带，可以让你少走路，站在上面就可以看见头顶，需要注意安全            第五 出来的时候有纪念品馆，喜欢的可以买一点，比如珍珠首饰，还有一些小孩子和女孩子喜欢的海洋玩具,4.0,2021/6/10,0,1
25,环境好，位置好找，里边东西也挺多，就是不太好停车，建议打车或者地铁公交都行，毕竟市南那地方，带孩子去还是不错的，就是人多，夏天能热。。。后边不用看了，凑字数的。。。。。。。。。。。。。。。。。。。。。,5.0,2021/7/17,0,1
26,我儿地方反复出现了一个人的时候我就觉得自己是一个人的时候我也是个很喜欢的人和人和事物一样了。我是李克平路公交车上人了。我的朋友可以吗。我的朋友可以理解为我做什么的时候就会觉得自己是个好人。我们都会很喜欢这个节目,3.0,2021/7/15,0,1
27,我的方法籓vvvvv吃的太好喝了一个人吃东西吃不下去了。我的朋友是个很好看的人了？我在阿是生生世世都发广告了🪧，我的朋友是我的朋友们都是我的朋友可以理解我的朋友们都是我的朋友们都在这里了。我们都会很喜欢这个,4.0,2021/7/15,0,1
28,门票便宜，可以看到相对多的海洋生物，挺好的呀。,4.0,2021/7/23,0,1
29,很好的一次旅行，孩子很喜欢,5.0,2021/7/11,0,1
30,"水族馆很久没去过，体验后感觉比以前改进了很多，分有多个模块，趣味性增强
水母的种类挺多，配合灯光呈现出不同的效果，观赏鱼比较少。
海豹馆和以前有所不同，都变成大鱼缸方便观赏，非常喜欢，希望经常改进以后能够再体验不同的乐趣！",5.0,2021/6/14,0,1
31,哈哈哈哈哈时隔快一年来评论 总之就是必须要去！！虽然是免费的水族馆也有很多好看有趣的地方,5.0,2021/7/5,2,1
32,地方很大，就是几个馆之间提示不明显，可以安装几个大的提示牌在每个馆的出口处，至于展品是真的多，就是海底世界那个蓝紫光灯有些晃眼睛导致有一些鱼不仔细看就根本看不见，总的来说确实对的上这个“中国第一个水族馆”的名号，,4.0,2021/5/17,0,1
33,特别好，特别满意，和闺蜜很满意的一次旅行，我们下午时间仓促所以没能玩很长时间特别后悔，呢是拍照打卡的圣地啦！靠近大海和基地海洋馆环境好，周围也有特别多拍照打卡的地方，个人很推荐，快快去打卡吧啊啊啊啊啊啊啊啊,5.0,2021/6/6,0,1
34,“梦幻水母宫”展馆采用最新科技设计，带你体验前所未有的梦幻之旅！看着各种形态各异的展缸，可以探索海中精灵水母的奇妙生命历程；在高科技投影设备的帮助下，也可以加入互动游戏，与水母嬉戏，感受如同置身海底奇境。,5.0,2021/5/27,0,1
35,带爸爸妈妈旅游，正好碰上免门票活动，妈妈非常开心，环境非常不错，不过年代原因现在看来确实有点挤，国内第一家水族馆，什么都不用说了，满分体验。,5.0,2021/7/19,0,1
36,带家人一起去的，整体空间布局都很好，尤其是水族馆，各种活体海洋生物，在加上灯火辉煌，很漂亮，在疫情期间让我们的生活有了更好的乐趣,4.0,2021/6/7,0,1
37,青岛著名景点，重新装修后比以前的观赏性好了许多,4.0,2021/8/3,0,1
38,"非常可以。！！！还不错。！！！
和家人去的，！！！体验感还蛮好的。假期去的，人也蛮多的。！！！没去过的朋友可以去试试，毕竟亲自体验过才知道好坏！对吧！嗯！
【环境】环境非常不错。！！！！
【交通】离市区还是有一段距离的。？！？？
【项目】也还不错。！！！！
【餐饮】也不错！！！！",5.0,2021/5/28,0,1
39,"不错，挺好的，孩子喜欢，
【交通】
【环境】
【餐饮】
【餐饮】",3.0,2021/8/1,0,1
40,"水母种类很多，珊瑚五颜六色的海龟海象，海豹都有，适合小朋友看，值得推荐。
【交通】方便，停车位很多
【环境】靠近海边，空气新鲜，环境还不错，人多，稍微有点拥挤
【餐饮】附近有卖水和饮料的摊位
【项目】海底世界就在附近。",4.0,2021/5/9,0,1
41,很好的体验活动结束时间还有很多人都在这里等待我想知道为什么这么喜欢哈哈,5.0,2021/7/26,0,1
42,只能说一般吧，只是标本区免费，水族馆收费,2.0,2021/8/1,0,1
43,水族馆部分，有动物标本，孩子很喜欢,3.0,2021/7/30,0,1
44,不花钱的好去处，能看到许多漂亮的水母,5.0,2021/6/14,0,1
45,"去年一家三口来的，趁着疫情免费打卡😎😎
交通很方便，地铁就能到达，黄金地段，不太方便停车
水族馆的种类繁多，美丽的水母各式各样，呆呆的大海龟先生，各种各样的鱼类🐟游泳一级棒的海豹
孩子玩得很开心，还能增长见识👪",4.0,2021/4/17,0,2
46,逛了3个小时，孩子喜欢，知识含量高,5.0,2021/7/29,0,1
47,"【环境】很喜欢😘
【交通】方便
【项目】还是不错的哦
【餐饮】附近还有很多吃的
可以带上自己的女朋友，或者女朋友的闺蜜一起也行，这地方很浪漫的哦，拉着小手手，一起看看水母，海豹啥的，感觉好极了呢，下次还会在去的，重点是一定要带上你女朋友的闺蜜一起",5.0,2021/5/26,0,1
48,和朋友去的，当天下大雨，排队人还挺多，因为是周末吧，修建的挺好的，指引的路标做的很好，不至于迷路，地方挺大的动物也挺多，大多以各类鱼为主，还有海豹水母啊之类的，好像还有丛林馆？我半年前去的，有点忘了😂挺适合家长带孩子来,4.0,2021/5/28,0,1
49,景点不错。服务周到，环境优美。,3.0,2021/7/29,0,1
50,挺好的，带孩子去长见识,5.0,2021/7/28,0,1
51,不错啊,5.0,2021/7/31,0,1
52,那么地方还可以 里边的内容还是很丰富的,3.0,2021/7/26,0,1
53,这个票可以逛4个馆，非常满意,5.0,2021/7/29,0,1
54,【环境】总体上还可以，人不太多，环境不错,3.0,2021/7/25,0,1
55,"很棒棒棒棒的体验好好好看 适合游玩  哈哈哈哈特别是适合孩子。和家人的体验很有意思。周末干什么呢 ，快来玩吧，海边海风还有水族馆。很开阔哦 哈哈哈
【交通】便利
【项目】很喜欢
【餐饮】很美味
【环境】很宜人",5.0,2021/5/8,1,2
56,很多很多动物，非常大，很漂亮，关键是停车4小时才2块钱，,5.0,2021/7/21,0,1
57,交通方便环境好适合带着孩子去玩的地方,4.0,2021/7/20,0,1
58,无敌垃圾 不推荐真的不推荐 智商压制,1.0,2021/7/21,1,1
59,免费的很好,4.0,2021/7/24,0,1
60,还不错，娃很高兴～～～～～～～,3.0,2021/7/23,0,1
61,疫情期间去的，前一部分免费，后期是收费的，有点套路似的，但毕竟还免费了一部分,3.0,2021/7/15,0,1
62,相当奈斯,4.0,2021/7/28,0,0
63,非常不错，环境很梦幻，水母非常piao亮！,3.0,2021/5/27,0,1
64,疫情期间免费玩的，很不错,5.0,2021/7/19,0,1
65,好玩呀,5.0,2021/7/19,0,1
66,成年人的话，不建议去，但是带着小孩子的话，可以去看,2.0,2021/7/12,0,1
67,休息过来看看海底小生物，心灵放松啊,5.0,2021/7/13,0,1
68,"这是第二次来了，  第一次去的时候漏下了鲸馆
没想到第二次来时间不够又没去成  有机会还会再来的，依旧是美丽的水母，蠢萌蠢萌的海豚，呆呆的海龟，女生和闺蜜一起来拍照或者让男朋友拍照都绝美的！推荐你们也来打卡啊！",3.0,2021/3/29,0,1
69,带孩子去观看一下还是很不错的体验,3.0,2021/7/12,0,1
70,好喜欢里面的感觉啊，而且好像是海豹馆还有配乐，就是那种深海的感觉，之前上高中的时候来过，现在考了大学，来了青岛上学，和喜欢的人来，又有了不同的感觉，很适合打卡的地方，有好几个馆，不仅仅是视觉盛宴，还能了解到很多的知识，和男朋友一起拍了照片，作为很有意义的留念，期待着以后带着我们的baby一起来呀，虽然是很久以后的事情了，但是生活不就是值得期待的嘛☺️,5.0,2021/3/31,1,2
71,带着孩子来的 环境不错 还有生物的品种也很多,4.0,2021/7/7,0,1
72,bang,5.0,2021/7/14,0,0
73,一个字，好看。,4.0,2021/7/12,0,1
74,还行,5.0,2021/7/12,0,1
75,"好的
【环境】优秀",5.0,2021/7/10,0,1
76,感觉很好，交通方便，环境不错。值得去游览。,4.0,2021/7/5,0,1
77,不到五分钟就走出去了，没啥看点，工作人员态度也不好，问怎么买票就说扫码，扫码以后没有购买那项，问了半天才说另一个码，特别敷衍，反正去过海洋馆就不要去水母管了，不推荐去，白花钱了………………………………,2.0,2021/4/25,0,1
78,带孩子去看，孩子很喜欢，值得去一趟,5.0,2021/7/6,0,1
79,不错挺好的，推荐，超级推荐，*为什么要十五个字,3.0,2021/7/5,0,1
80,不错，推荐,4.0,2021/7/9,0,1
81,希望有天你也能像我一样哭得撕心裂肺,3.0,2021/5/3,0,1
82,没发照片，但是绝对值，带小朋友去的，特别喜欢。,5.0,2021/7/1,0,1
83,"【环境】干净卫生
【交通】方便一下车就到了出来之后还可以到海边玩一会，赏一赏海景，心情很好，景色很美。
【项目】很多。但进不去那个海底隧道，要单独买票。
【餐饮】因为那边是海边就好像没有餐饮店。去的时候可以自己带些食品和水。",5.0,2021/4/10,0,1
84,还可以，当时去的时候免费的门票，,3.0,2021/7/4,0,1
85,挺好的，非常不错，值得一游，哈哈,3.0,2021/7/4,0,1
86,水族馆免费开放，很幸运在出来玩的时候，恰好遇到，免费观看，里面有各种各样的水母，很漂亮，很漂亮，让人觉得整体环境有海底的感觉，很美丽，同时觉得水母也危险，拍了很多照片，很好看，见到各种各样的水母，长见识了,5.0,2021/4/18,0,1
87,免费当然好评啦，带孩子看看挺好的。,5.0,2021/7/1,0,1
88,青岛的海洋馆棒棒滴因为是疫情的时候去的所以只参观了几个馆不错不错,3.0,2021/6/20,0,1
89,很好，很适合孩子去,4.0,2021/6/30,0,1
90,还不错，带儿子去玩的,4.0,2021/6/28,0,1
91,趁着景点免费赶紧带女票来景点打卡，由于从小就出生在这周边，所以对景点的路线规划轻车熟路，获得了女票及其朋友们的一致好评，好开心，唯一有点提高的就是从小着周围令人满意的餐馆就没有，游览完景点后打车去别的地方吃的饭。,5.0,2021/3/22,0,1
92,超级方便，好玩，孩子玩的可高兴啦，,5.0,2021/6/8,0,1
93,国内最早的水族馆，水母种类很多，门票还包括海豹馆，值得一去,4.0,2021/4/21,0,1
94,我和对象去的 那时候疫情免费就还挺快乐的 有很多水母 还有海豹海狮什么的 小小的海狮好可爱 还有一只小企鹅 那个小企鹅不爱动 总是呆呆的哈哈哈哈哈  还有三只不同品种的乌龟 但我感觉那个池子太小了 乌龟好憋屈 在里面都不能游,5.0,2021/3/21,0,1
95,哈哈哈可以我去的时候是免费的，后来又要门票了，可能疫情期间吧,4.0,2021/6/18,0,1
96,挺好的，好多东西呢，好几个馆，去了好几次了,3.0,2021/6/23,0,1
97,大人和小孩都不太喜欢，这个需要相关专业的人来看看,3.0,2021/6/19,0,1
98,青岛必须去的地方,5.0,2021/6/20,0,1
99,非常好玩，值得去看看。,5.0,2021/6/23,0,1
100,表演时间很短暂，就10分钟左右，感觉价格太高了。,3.0,2021/6/17,0,1
101,超级梦幻,5.0,2021/6/6,0,1
102,因为疫情，海底世界免费开放，真棒👍在青岛多年，头一次去海底世界。孩子觉得很不错！,5.0,2021/4/8,0,1
103,很划算，之前做过一次，是免门票就可以退了，零花钱就去参观了，请旅馆有没有水母啊？很有纪念意义，而且就在大海边，也非常好，坐公交车就可以到，可以领小孩去玩一玩，回去看看吧！,5.0,2021/4/5,0,1
104,建馆几十年了，不错的科普基地，节假日带孩子去的很多，里面🈶️很多水生物我也没见过，很多名字也不会叫，也不敢乱教孩子，建议馆弄个app扫码可以手机讲解那种，毕竟很多生僻字很多大人也是看不懂的，总体来说价格实惠物超所值,5.0,2021/5/5,0,1
105,骗人的，多数场馆进不去，还是要再花钱,1.0,2021/6/11,0,1
106,涨知识了，确实名不虚传。来青岛必须打卡地,4.0,2021/6/13,0,1
107,挺好看的，算是不错的水族馆，但动物品种不算很丰富。,4.0,2021/6/10,0,1
108,水族馆的种类还挺多的，但是不适合领着太小的孩子去，各个馆之间有一定的距离，走起来比较累，把几个馆都参观了，长了不少见识，价格也比较合适，不是很贵，虽然是周末，但是人不是很多，缺点:停车竟然还要收费，不大好,3.0,2021/3/27,0,1
109,还可以，比我们天津的小多了！！！,3.0,2021/6/14,1,1
110,非常不错的打卡，可以带小孩子一起来游玩一下，漂亮,5.0,2021/4/23,0,1
111,当时和对象一起去青岛玩，然后在美团上发现了水族馆，感觉特别好玩，然后我们就去了，里面挺好玩的，感觉挺大，也见到了很多神奇的生物，总之体验非常棒，建议去当时拿了学生证去的，还可以优惠，我们当时去完完了之后又去了隔壁的一个海报馆，也挺不错的，记得当时几点到几点有演出之类的？我们看了一会儿就走了，推荐去挺不错的,5.0,2021/3/13,1,1
112,非常漂亮,4.0,2021/6/18,0,1
113,还可以吧，去一次瞧瞧新鲜就够了,2.0,2021/6/15,0,1
114,里面不大呀！总体还行吧，不到一分钟就看完了😂,3.0,2021/6/11,0,1
115,挺好，和家人一起去的，玩的都挺高兴！,4.0,2021/6/13,0,1
116,"环境可以，人挺多的，和同学去的，玩的很好，里面的的都很可爱，看了很多鱼的标本，海底的世界原来那么丰富，还有很多的鱼，还有水母，各种各样的水母，有发光的，有的特别大
，有的特别小，都很好看，下一次一定还要进去看看",5.0,2021/4/3,0,1
117,需要在手机上预约一下，能看水母海豹企鹅等。,5.0,2021/6/9,0,1
118,环境很安静，很整洁，体验非常不错。,5.0,2021/6/10,0,1
119,水族馆还不错，值得一去，，，，,3.0,2021/6/11,0,1
120,增长海洋知识的地方。￼,4.0,2021/6/13,0,1
121,好好的,5.0,2021/6/14,0,1
122,还不错，继续努力,4.0,2021/6/14,0,1
123,"【环境】
【交通】
【项目】
【餐饮】
【环境】
【交通】
【项目】
【餐饮】
【环境】
【交通】
【项目】
【环境】
【餐饮】
【环境】
【交通】
【环境】
【环境】",5.0,2021/5/31,0,1
124,参观游览，不错,4.0,2021/6/13,0,1
125,很好玩的地方，有很多有趣的水母和鱼类。有好几个场馆，老人小孩情侣都可以来玩。当时去的时候还是免门票的。就在海边，逛完了再去海边溜溜腿也很不错。海底世界是需要门票的就没有进去。非常建议大家都去玩一玩。推荐。,5.0,2021/3/15,1,1
126,孩子很喜欢去！每次去都玩好久！,5.0,2021/4/29,0,1
127,太好了，和孩子玩的很开心,5.0,2021/6/6,0,1
128,挺不错，节假日搞活动，免费门票，希望其他旅游项目也适当的搞搞免费门票,4.0,2021/5/28,0,1
129,常规的水族馆，地方不太大，随便看看也还不错,3.0,2021/6/1,0,1
130,没看出啥变化来，还能是我不会用？,2.0,2021/6/5,0,1
131,很好玩 可以带孩子来玩 就是人多,5.0,2021/6/3,0,1
132,免费的，特别好哈哈,5.0,2021/6/5,0,1
133,喜欢水母馆，去了两次了😁,5.0,2021/4/6,0,1
134,里面很漂亮，看着很舒服，没去过的朋友可以去看看,3.0,2021/5/31,0,1
135,孩子一直想来，值得去一趟，收货多多,3.0,2021/6/1,0,1
136,必游之地,5.0,2021/6/4,0,1
137,儿子喜欢，海洋动物非常讨人喜欢,5.0,2021/5/29,0,1
138,棒棒的,5.0,2021/6/1,0,1
139,强烈推荐的青岛水族馆，还包括了鲸馆，海豹馆，标本馆，淡水馆，推荐给孩子和老人，值得一看，回来隔了好长时间，三岁的孩子都还有印象，还念念不忘。水族馆的水母很震撼，海豹海狮也很活泼很可爱，标本馆的每一处标本都是背后用心精心的良作，本以为淡水馆没什么可看的，结果很意外，好评好评,5.0,2021/2/22,1,1
140,下次一定在光顾,4.0,2021/5/31,0,1
141,上次去恐怕是我小学的时候了，哈哈，很多年没来了，趁着疫情期间免费来了一趟，感觉还挺不错的哦，孩子玩的很开心，虽然不大，但是有很漂亮的水母，还有很多标本，孩子都挺好奇的。是一次不错的体验哦，下次有机会再来哦。,5.0,2021/3/11,1,0
142,水母宫玩了半天，都很好看，各种水母,5.0,2021/5/26,0,1
143,水族馆适合带小孩子一起来看，周末还是不错的体验！！！,3.0,2021/5/23,0,1
144,这只是标本而已，只能一般般啦……,3.0,2021/5/25,0,1
145,"环境不错，设施完善，带着孩子科普海洋知识不错的地方
【环境】",3.0,2021/5/18,0,1
146,搞得网上预约很不错，还可以免费观赏，在疫情之后让冷清了一年的景点再次有温度。,5.0,2021/5/12,0,1
147,免费的这波超值，虽然只是看了水母馆，但是这些小精灵真的很漂亮，去过极地对其他海洋动物不是特别有兴趣了，但是水母这边很值得一看,5.0,2021/3/23,0,1
148,年年都差不多了，没啥好看的了。,2.0,2021/5/25,0,1
149,墙裂推荐，炒鸡好晚，很值，很适合和几个小伙伴一起去拍照啥的，还能涨涨芝士，很多水母都超级美，疫情期间，口罩查的毕竟严格，需要二维码进，人还蛮多的，注意水母馆没有想象中那么大，各种水母挨得比较密集，慢慢看，要不很容易漏，单向通行，一旦出来就比较难再进去了,5.0,2021/2/16,1,1
150,非常好的地方，来过之后让人流连忘返。不愧是大众点评的前列店家，和朋友一起来的，我们大家都很喜欢，下次约好再来打卡！全五分好评了。,5.0,2021/3/17,1,1
151,不错，有机会再去,4.0,2021/5/22,0,1
152,水母很惊艳，海豹游来游去也不错，免费很温馨。,5.0,2021/4/9,0,1
153,有隐性消费 感觉促销活动没说明白,1.0,2021/5/21,0,1
154,很好看  啥都有  强推  下次还想去  旅游首选,5.0,2021/5/21,0,1
155,薅了下政府的羊毛，带着孩子补充了很多海洋知识！,5.0,2021/5/15,0,1
156,不要钱，提前预约好就可以进去看，我把所有的都看过了，值得去，我喜欢那个海豹和海龟！可爱的要死，养的很好，还有蜥蜴🦎也漂亮，颜色很鲜艳，适合孩子，情侣去玩，水母漂亮的，品种好多哈哈哈哈哈哈哈哈哈哈哈哈啊哈哈哈,5.0,2021/3/6,1,1
157,环境很棒，非常漂亮，超可爱的小动物，交通也便利，非常推荐,5.0,2021/4/4,0,1
158,带孩子看看，科普一下海洋知识，就是人比较多，有的馆没去,3.0,2021/5/13,0,1
159,环境一般般交通便利，项目不是很多，但是很实惠，餐饮也一般般,2.0,2021/5/14,0,1
160,很多漂亮的水母，还是免费的，水母种类很多，可以去看看，强烈推荐，还可以拍美美的照片,5.0,2021/3/12,1,1
161,一票通很多展馆呢，整个看完也得两个小时以上，性价比很高了。,5.0,2021/5/13,0,1
162,"一般般吧，个人感觉不怎么好玩，门票贵，
【餐饮】
【餐饮】
【餐饮】
【餐饮】
【餐饮】
【项目】
【项目】
【项目】
【交通】
【交通】
【交通】
【交通】
【交通】
【交通】
【项目】
【餐饮】
【餐饮】
【餐饮】
【餐饮】
【项目】
【项目】
【项目】
【交通】
【交通】
【交通】
【交通】
【交通】
【项目】
【餐饮】
【餐饮】
【餐饮】",3.0,2021/3/13,0,1
163,很不错啊！！很漂亮，环境也很好的,5.0,2021/4/9,0,1
164,景色真不错，就是找了好久才找到。孩子都很喜欢。,4.0,2021/5/16,0,1
165,很好，强烈推荐,5.0,2021/5/20,0,1
166,太坑了，看见这个评价的老铁千万别进去的里边只有水母，幸好没去海底世界,1.0,2021/5/4,0,1
167,还蛮不错的 奥利给 点个赞 整体布局合理,3.0,2021/3/8,1,1
168,人有点多，秩序一般。没有把控人流量,3.0,2021/5/14,0,1
169,还不错😂😂😂有机会再去……,3.0,2021/5/15,0,1
170,免费的！免费的！！免费的！！！重要的事情说三遍，嘻嘻嘻。里面的水母种类还挺多，特别漂亮，灯光打的超好看，水母在水中袅袅娜娜，特别好看。馆里的海豹圆滚滚胖乎乎的超可爱的。还有一些其他的动物比如海龟之类的，去的人超级多。,5.0,2021/2/24,0,1
171,挺好看的不要钱主要是剩下的我要开始,5.0,2021/5/10,0,1
172,门口的人一点不好客，还好客山东，就在旁边写着，却不让进去,1.0,2021/5/7,0,1
173,好深的坑啊，应该叫水母馆，下次免费参观也不会进去,1.0,2021/5/4,0,1
174,去的第二次跟女朋友一块噜啦噜啦嘞,5.0,2021/5/10,0,1
175,去的时候免费，现在好像收费了，那就别去啦，哈哈哈,5.0,2021/5/7,0,1
176,感觉还挺好看的。,5.0,2021/3/7,1,1
177,还蛮好的吧,4.0,2021/3/13,1,1
178,很不错的地方,5.0,2021/5/8,0,1
179,亲子游玩好去处，我们是疫情免票去的，预约制，人也不多，玩的很开心！孩子最喜欢水母馆，一路海狮海豹，海龟，看完正好溜海边，鲁迅公园，小青岛，栈桥，一路海边游！,5.0,2021/2/26,1,1
180,很不错 👍！值得一去值得一看 ！,4.0,2021/5/6,0,1
181,很好玩,4.0,2021/5/9,0,1
182,很值得一观，真的很壮观,5.0,2021/5/6,0,1
183,很好的亲子活动的地方，带孩子学好多知识,4.0,2021/5/1,1,1
184,民国时期就建立起来的历史悠久的水族馆，小时候经常来玩，现在带孩子来玩，非常有意义，可以学到很多科学知识，看到奇奇怪怪的生物，以及历史上灭绝过的生物标本，感叹于大自然的伟大，增强了环保意识，认识到人类的渺小。,5.0,2021/2/6,2,1
185,很不错的，因为真的可以让孩子了解很多知识,4.0,2021/5/1,1,1
186,青岛的旅游没得说，当时还免费，玩的很开心,4.0,2021/5/2,0,1
187,非常满意！点赞,4.0,2021/5/6,0,1
188,鱼很多，小鲨鱼又可爱又虾人,4.0,2021/4/12,0,1
189,还行吧还行吧还行吧免费参览的动物也就那几个还行吧,3.0,2021/3/20,0,1
190,里面的东西太少了，也非常一般，和大型水族馆差距太大,2.0,2021/4/25,0,1
191,"【环境】很好。
【交通】便利。
【项目】很好。",5.0,2021/4/28,0,1
192,111图形中我有早洗哇有早洗哇这,3.0,2021/4/28,0,1
193,从手机上预约去的，没花钱，有很多好看的，地方不算很大，人不少，有水母馆最好看了，里面水母种类很多，可以算是大开眼界吧哈哈哈，还有水母的培养过程，可以增长很多知识 还有海豚！非常的可爱，还有很多小动物，也都很壮观吧哈哈,5.0,2021/2/6,1,1
194,免门票进去的，和朋友同学一块去的，里边人很多，种类也多，环境特别好，可以带小朋友来参观，水族馆地方不大，但是转一圈也需要蛮长时间的，是个拍照的好地方，水母是最好看的，种类特别多，有机会一定会再来的，哈哈,5.0,2021/1/8,1,1
195,里面很梦幻，好漂亮，孩子超级喜欢,4.0,2021/4/24,0,1
196,"【环境】
【环境】
【交通】
【环境】
【项目】
【餐饮】
【交通】
【项目】",4.0,2021/4/23,0,1
197,针不戳 虽然比不上大的海洋世界，但是毕竟是免费的，里面也凉快。带孩子玩玩看看也很可以，里面有水母，乌龟，各种鱼，动物也不少，水母是真好看，会拍照片的拍下来可以当壁纸了。离小鱼山很近，小鱼山绝对不能错过，山不高但是看青岛风景非常好。,5.0,2021/1/17,1,1
198,"【交通】方便
里面的人流不大，没有特别拥挤，节假日不建议去",4.0,2021/4/18,0,1
199,都不错 拍照也比较好看 有几个馆可以转转看看,3.0,2021/4/23,0,1
200,玩了一个多小时，竟然没有收停车费，在山东，在青岛，真的很不错👍，死喷子闭嘴,3.0,2021/4/8,0,1
201,三很不错(*๓´╰╯`๓)♡,5.0,2021/3/1,1,1
